year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,party_simplified,vote_percentage
1976,KENTUCKY,KY,21,61,51,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,0.0,814,1167142,20210113,LIBERTARIAN,0.06974301327516275
1976,KENTUCKY,KY,21,61,51,US PRESIDENT,"LAROUCHE, LYNDON, JR.",U.S. LABOR,0.0,510,1167142,20210113,OTHER,0.043696482518836614
1976,KENTUCKY,KY,21,61,51,US PRESIDENT,"HALL, GUS",COMMUNIST PARTY USE,0.0,426,1167142,20210113,OTHER,0.036499414809851756
1976,KENTUCKY,KY,21,61,51,US PRESIDENT,"CAMEJO, PETER",SOCIALIST WORKERS,0.0,350,1167142,20210113,OTHER,0.029987782120770225
1976,LOUISIANA,LA,22,72,45,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,0.0,661365,1277383,20210113,DEMOCRAT,51.77499622274604
1976,LOUISIANA,LA,22,72,45,US PRESIDENT,"FORD, GERALD",REPUBLICAN,0.0,587446,1277383,20210113,REPUBLICAN,45.9882431502533
1976,LOUISIANA,LA,22,72,45,US PRESIDENT,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,0.0,10058,1277383,20210113,OTHER,0.7873910957011327
1976,LOUISIANA,LA,22,72,45,US PRESIDENT,"HALL, GUS",COMMUNIST PARTY USE,0.0,7417,1277383,20210113,OTHER,0.5806402621609964
1976,LOUISIANA,LA,22,72,45,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,0.0,6490,1277383,20210113,OTHER,0.5080700150229023
1976,LOUISIANA,LA,22,72,45,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,0.0,3134,1277383,20210113,LIBERTARIAN,0.2453453662683784
1976,LOUISIANA,LA,22,72,45,US PRESIDENT,"CAMEJO, PETER",SOCIALIST WORKERS,0.0,1473,1277383,20210113,OTHER,0.11531388784726272
1976,MAINE,ME,23,11,2,US PRESIDENT,"FORD, GERALD",REPUBLICAN,0.0,236320,482968,20210113,REPUBLICAN,48.9307780225605
1976,MAINE,ME,23,11,2,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,0.0,232279,482968,20210113,DEMOCRAT,48.0940766261947
1976,MAINE,ME,23,11,2,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,0.0,10874,482968,20210113,OTHER,2.251494923059085
1976,MAINE,ME,23,11,2,US PRESIDENT,"BUBAR, BENJAMIN """"BEN""""",PROHIBITION,0.0,3495,482968,20210113,OTHER,0.7236504281857183
1976,MARYLAND,MD,24,52,52,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,0.0,759612,1432273,20210113,DEMOCRAT,53.035419923436386
1976,MARYLAND,MD,24,52,52,US PRESIDENT,"FORD, GERALD",REPUBLICAN,0.0,672661,1432273,20210113,REPUBLICAN,46.964580076563614
1976,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,0.0,1429475,2547558,20210113,DEMOCRAT,56.111578225108126
1976,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,"FORD, GERALD",REPUBLICAN,0.0,1030276,2547558,20210113,REPUBLICAN,40.44170927609891
1976,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,0.0,65637,2547558,20210113,OTHER,2.576467346376412
1976,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,"CAMEJO, PETER",SOCIALIST WORKERS,0.0,8138,2547558,20210113,OTHER,0.31944316871294
1976,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,"ANDERSON, THOMAS J.",AMERICAN,0.0,7555,2547558,20210113,OTHER,0.296558508187056
1976,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,"LAROUCHE, LYNDON, JR.",U.S. LABOR,0.0,4922,2547558,20210113,OTHER,0.19320462968850954
1976,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,SCATTERING,Unknown Party,0.0,1401,2547558,20210113,OTHER,0.05499384116082932
1976,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,0.0,135,2547558,20210113,LIBERTARIAN,0.005299192403077771
1976,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,"JULIUS """"JULES"""", LEVIN",SOCIALIST LABOR,0.0,19,2547558,20210113,OTHER,0.0007458122641368714
1976,MICHIGAN,MI,26,34,23,US PRESIDENT,"FORD, GERALD",REPUBLICAN,0.0,1893742,3651590,20210113,REPUBLICAN,51.860751070081804
1976,MICHIGAN,MI,26,34,23,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,0.0,1696714,3651590,20210113,DEMOCRAT,46.46507411839774
1976,MICHIGAN,MI,26,34,23,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,0.0,47905,3651590,20210113,OTHER,1.3118942707149488
1976,MICHIGAN,MI,26,34,23,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,0.0,5407,3651590,20210113,LIBERTARIAN,0.1480724834934919
1976,MICHIGAN,MI,26,34,23,US PRESIDENT,"WRIGHT, MARGARET",HUMAN RIGHTS,0.0,3504,3651590,20210113,OTHER,0.095958199031107
1976,MICHIGAN,MI,26,34,23,US PRESIDENT,"CAMEJO, PETER",SOCIALIST WORKERS,0.0,1804,3651590,20210113,OTHER,0.049403136715786826
1976,MICHIGAN,MI,26,34,23,US PRESIDENT,"LAROUCHE, LYNDON, JR.",U.S. LABOR,0.0,1366,3651590,20210113,OTHER,0.03740836183689845
1976,MICHIGAN,MI,26,34,23,US PRESIDENT,"JULIUS """"JULES"""", LEVIN",SOCIALIST LABOR,0.0,1148,3651590,20210113,OTHER,0.03143835972822798
